,Time,Pontos,Jogos,Vitorias,Empates,Derrotas,Gols Pró,Gols Contra,Saldos de gols,Porcentagem,Cartões Amarelos,Cartões Vermelhos,Ultimos resultados,Média de gols,Ano da competição
0,Flamengo - RJ,90,38,28,6,4,86,37,49,78,90,3,4 Empates,2.263157894736842,2019
1,Santos - SP,74,38,22,8,8,60,33,27,64,110,12,4 Empates,1.5789473684210527,2019
2,Palmeiras - SP,74,38,21,11,6,61,32,29,64,78,5,7 Empates,1.605263157894737,2019
3,Grêmio - RS,65,38,19,8,11,64,39,25,57,80,2,5 Empates,1.6842105263157894,2019
4,Athletico Paranaense - PR,64,38,18,10,10,51,32,19,56,83,2,7 Empates,1.3421052631578947,2019
5,São Paulo - SP,63,38,17,12,9,39,30,9,55,87,7,6 Empates,1.0263157894736843,2019
6,Internacional - RS,57,38,16,9,13,44,38,6,50,98,3,3 Empates,1.1578947368421053,2019
7,Corinthians - SP,56,38,14,14,10,42,34,8,49,72,2,7 Empates,1.105263157894737,2019
8,Fortaleza - CE,53,38,15,8,15,50,49,1,46,85,13,6 Empates,1.3157894736842106,2019
9,Goiás - GO,52,38,15,7,16,46,64,-18,45,86,7,4 Empates,1.2105263157894737,2019
10,Bahia - BA,49,38,12,13,13,44,43,1,42,65,6,5 Empates,1.1578947368421053,2019
11,Vasco da Gama - RJ,49,38,12,13,13,39,45,-6,42,105,5,7 Empates,1.0263157894736843,2019
12,Atlético - MG,48,38,13,9,16,44,49,-5,42,69,5,7 Empates,1.1578947368421053,2019
13,Fluminense - RJ,46,38,12,10,16,38,46,-8,40,87,12,3 Empates,1.0,2019
14,Botafogo - RJ,43,38,13,4,21,31,45,-14,37,94,3,2 Empates,0.8157894736842105,2019
15,Ceará - CE,39,38,10,9,19,36,41,-5,34,85,3,3 Empates,0.9473684210526315,2019
16,Cruzeiro - MG,36,38,7,15,16,27,46,-19,31,81,6,7 Empates,0.7105263157894737,2019
17,Csa - AL,32,38,8,8,22,24,58,-34,28,90,4,3 Empates,0.631578947368421,2019
18,Chapecoense - SC,32,38,7,11,20,31,52,-21,28,79,6,6 Empates,0.8157894736842105,2019
19,Avaí - SC,20,38,3,11,24,18,62,-44,17,79,10,2 Empates,0.47368421052631576,2019
